Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
"01001";"Flensburg, Stadt";"kreisfreie Stadt";"40,56";"40,77";"40,93";"40,97";"41,03";"41,13";"41,18";"41,20";"41,25";"41,38";"41,31";"41,34";"41,52";"41,63";"42,57";"42,54";"42,59";"42,63";"42,47";"42,27"
"01002";"Kiel, Stadt";"kreisfreie Stadt";"40,41";"40,61";"40,85";"40,99";"41,06";"41,03";"41,17";"41,23";"41,28";"41,33";"41,35";"41,42";"41,52";"41,57";"41,30";"41,35";"41,43";"41,49";"41,43";"41,44"
"01003";"Lübeck, Stadt";"kreisfreie Stadt";"42,03";"42,23";"42,42";"42,56";"42,68";"42,82";"42,94";"43,12";"43,26";"43,44";"43,52";"43,67";"43,79";"43,89";"44,31";"44,42";"44,45";"44,51";"44,51";"44,58"
"01004";"Neumünster, Stadt";"kreisfreie Stadt";"40,53";"40,66";"40,95";"41,12";"41,28";"41,44";"41,71";"41,92";"42,15";"42,30";"42,51";"42,68";"42,83";"42,97";"43,64";"43,90";"44,12";"44,22";"44,02";"44,12"
"01051";"Dithmarschen";"Landkreis";"40,37";"40,56";"40,79";"41,00";"41,25";"41,51";"41,77";"42,14";"42,47";"42,84";"43,16";"43,46";"43,77";"44,07";"44,42";"44,74";"45,02";"45,27";"45,43";"45,56"
"01053";"Herzogtum Lauenburg";"Landkreis";"40,28";"40,41";"40,54";"40,70";"40,91";"41,09";"41,34";"41,60";"41,87";"42,18";"42,49";"42,79";"43,12";"43,38";"43,84";"44,10";"44,29";"44,45";"44,49";"44,55"
"01054";"Nordfriesland";"Landkreis";"39,88";"40,02";"40,25";"40,51";"40,72";"41,02";"41,29";"41,61";"41,91";"42,26";"42,59";"42,93";"43,28";"43,59";"44,07";"44,43";"44,75";"45,02";"45,07";"45,18"
"01055";"Ostholstein";"Landkreis";"41,90";"42,13";"42,39";"42,71";"43,00";"43,29";"43,63";"43,99";"44,33";"44,67";"45,01";"45,36";"45,75";"46,08";"46,34";"46,63";"46,93";"47,23";"47,36";"47,47"
"01056";"Pinneberg";"Landkreis";"40,54";"40,71";"40,93";"41,10";"41,25";"41,49";"41,74";"42,00";"42,25";"42,52";"42,77";"43,01";"43,25";"43,45";"43,78";"43,99";"44,15";"44,29";"44,37";"44,36"
"01057";"Plön";"Landkreis";"40,32";"40,52";"40,73";"41,02";"41,35";"41,64";"41,95";"42,31";"42,72";"43,10";"43,46";"43,85";"44,28";"44,66";"45,28";"45,68";"46,01";"46,29";"46,30";"46,45"
"01058";"Rendsburg-Eckernförde";"Landkreis";"39,74";"39,91";"40,10";"40,29";"40,53";"40,79";"41,09";"41,39";"41,72";"42,06";"42,37";"42,71";"43,05";"43,37";"43,80";"44,18";"44,49";"44,76";"44,92";"45,03"
"01059";"Schleswig-Flensburg";"Landkreis";"39,37";"39,58";"39,75";"40,02";"40,35";"40,60";"40,94";"41,30";"41,68";"42,08";"42,41";"42,71";"43,03";"43,34";"43,74";"44,13";"44,49";"44,79";"44,95";"44,98"
"01060";"Segeberg";"Landkreis";"39,30";"39,47";"39,69";"39,87";"40,12";"40,37";"40,63";"40,98";"41,31";"41,63";"41,94";"42,24";"42,57";"42,82";"43,32";"43,61";"43,89";"44,13";"44,25";"44,17"
"01061";"Steinburg";"Landkreis";"39,85";"40,02";"40,18";"40,38";"40,63";"40,81";"41,04";"41,33";"41,66";"42,07";"42,38";"42,70";"43,03";"43,37";"43,86";"44,19";"44,48";"44,76";"44,80";"44,90"
"01062";"Stormarn";"Landkreis";"40,83";"41,03";"41,23";"41,42";"41,60";"41,84";"42,13";"42,36";"42,66";"42,95";"43,18";"43,36";"43,61";"43,81";"44,06";"44,29";"44,48";"44,66";"44,74";"44,81"
"02000";"Hamburg, Stadt";"kreisfreie Stadt";"41,18";"41,24";"41,29";"41,30";"41,34";"41,40";"41,48";"41,55";"41,63";"41,71";"41,73";"41,79";"41,86";"41,92";"41,96";"41,96";"41,98";"41,99";"41,87";"41,73"
"03101";"Braunschweig, Stadt";"kreisfreie Stadt";"41,96";"42,10";"42,25";"42,37";"42,45";"42,54";"42,66";"42,70";"42,86";"42,96";"43,02";"43,07";"43,11";"43,11";"43,13";"43,13";"43,16";"43,18";"43,07";"43,30"
"03102";"Salzgitter, Stadt";"kreisfreie Stadt";"40,86";"41,17";"41,42";"41,72";"41,99";"42,23";"42,52";"42,86";"43,17";"43,48";"43,77";"43,99";"44,24";"44,51";"44,93";"45,11";"45,13";"45,09";"44,71";"44,17"
"03103";"Wolfsburg, Stadt";"kreisfreie Stadt";"41,66";"41,93";"42,20";"42,44";"42,67";"42,84";"43,01";"43,26";"43,55";"43,82";"44,03";"44,11";"44,15";"44,26";"44,13";"44,16";"44,14";"44,17";"44,03";"44,05"
