Kennziffer;Raumeinheit;Aggregat;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose;Langzeitarbeitslose
;;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"39,7";"39,3";"34,5";"28,7";"29,8";"31,2";"36,1";"33,2";"42,5";"35,0";"29,6";"25,6";"28,8";"30,6";"31,9";"33,8";"36,4";"36,2";"32,7";"31,8"
"01002";"Kiel, Stadt";"krsfr. Stadt";"40,6";"41,4";"38,4";"34,8";"35,2";"36,7";"40,1";"40,0";"51,8";"45,6";"37,8";"36,8";"34,6";"35,7";"36,4";"34,0";"38,2";"38,7";"40,3";"37,8"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"41,8";"43,4";"42,6";"38,3";"36,4";"35,5";"39,6";"35,7";"52,1";"45,7";"43,3";"42,6";"41,1";"36,8";"39,1";"34,9";"37,4";"38,4";"38,5";"36,3"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"34,9";"37,3";"37,0";"33,5";"32,4";"34,1";"39,4";"38,5";"40,1";"37,2";"29,4";"28,9";"31,3";"34,3";"36,5";"36,9";"40,2";"40,9";"39,4";"38,3"
"01051";"Dithmarschen";"Landkreis";"29,1";"30,4";"28,2";"24,9";"25,4";"25,4";"33,0";"31,5";"40,3";"37,9";"35,3";"33,8";"28,5";"23,9";"26,0";"27,3";"28,2";"28,5";"30,5";"30,5"
"01053";"Herzogtum Lauenburg";"Landkreis";"32,3";"33,7";"33,6";"32,4";"31,9";"30,2";"33,6";"31,0";"35,0";"33,9";"36,0";"31,8";"32,0";"33,3";"35,5";"37,4";"38,6";"38,5";"37,7";"35,9"
"01054";"Nordfriesland";"Landkreis";"25,5";"25,0";"21,7";"19,4";"20,7";"21,3";"26,2";"27,6";"28,9";"4,9";"5,7";"38,4";"37,9";"31,0";"29,5";"37,8";"42,9";"40,9";"40,8";"41,1"
"01055";"Ostholstein";"Landkreis";"29,9";"31,7";"31,5";"29,0";"25,3";"24,6";"28,8";"28,9";"35,5";"35,2";"34,0";"30,6";"31,3";"28,4";"30,2";"31,8";"34,2";"34,6";"35,3";"33,7"
"01056";"Pinneberg";"Landkreis";"38,8";"39,7";"39,5";"36,3";"33,6";"33,9";"36,7";"34,5";"41,8";"36,6";"29,1";"27,2";"24,7";"26,9";"30,2";"30,3";"33,0";"33,2";"33,3";"31,6"
"01057";"Plön";"Landkreis";"30,7";"33,1";"32,9";"27,1";"29,6";"30,4";"33,7";"34,6";"36,2";"33,2";"32,6";"32,5";"29,6";"29,9";"35,4";"33,1";"36,0";"37,9";"37,2";"32,7"
"01058";"Rendsburg-Eckernförde";"Landkreis";"35,7";"37,8";"34,6";"28,9";"27,9";"27,1";"31,2";"28,6";"36,4";"33,8";"30,5";"25,2";"29,4";"27,3";"29,3";"32,4";"34,8";"35,1";"34,1";"31,7"
"01059";"Schleswig-Flensburg";"Landkreis";"30,9";"33,8";"29,8";"25,8";"25,8";"26,8";"30,0";"27,7";"29,0";"5,6";"6,1";"42,5";"45,4";"46,6";"43,7";"45,5";"51,5";"51,0";"47,9";"44,5"
"01060";"Segeberg";"Landkreis";"32,0";"35,3";"33,1";"29,1";"26,0";"25,9";"29,7";"33,6";"34,7";"31,4";"30,5";"24,6";"27,3";"27,1";"28,7";"30,9";"32,8";"34,5";"33,7";"31,9"
"01061";"Steinburg";"Landkreis";"35,7";"38,3";"39,4";"35,6";"35,2";"35,0";"38,8";"38,0";"38,2";"30,9";"27,2";"18,1";"20,7";"24,7";"28,0";"29,3";"32,6";"33,7";"35,2";"34,8"
"01062";"Stormarn";"Landkreis";"33,5";"35,3";"34,2";"30,3";"28,9";"28,6";"31,7";"30,5";"37,1";"33,0";"25,5";"25,8";"27,9";"29,2";"31,1";"31,2";"31,3";"30,5";"27,9";"26,4"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"38,9";"39,4";"37,6";"32,4";"28,0";"29,0";"33,2";"30,0";"39,0";"38,5";"33,0";"30,1";"28,8";"28,3";"30,6";"31,1";"31,8";"31,6";"32,5";"30,8"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"45,5";"46,4";"44,4";"40,8";"41,3";"42,1";"44,7";"42,6";"43,5";"41,4";"39,3";"34,2";"32,7";"35,3";"37,5";"37,6";"39,0";"39,3";"37,7";"35,6"
