Kennziffer;Raumeinheit;Aggregat;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"469,1";"522,9";"475,4";"524,7";"550,1";"511,6";"463,5";"431,4";"431,9";"473,5";"475,9";"542,6";"596,5";"572,0";"525,4";"495,3";"599,3";"636,5";"643,3";"595,5";"674,4";"727,3";"767,3"
"01002";"Kiel, Stadt";"krsfr. Stadt";"476,2";"488,8";"497,6";"588,0";"529,0";"526,5";"524,0";"490,0";"453,7";"421,5";"551,4";"657,1";"551,1";"661,6";"574,9";"560,9";"617,6";"561,1";"664,4";"516,4";"710,3";"709,4";"755,3"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"471,9";"428,4";"436,0";"473,5";"489,3";"436,6";"429,7";"423,4";"391,4";"417,8";"419,3";"454,8";"517,3";"546,6";"484,7";"473,3";"563,8";"527,5";"594,3";"608,6";"602,1";"659,9";"724,8"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"447,9";"423,0";"478,0";"495,6";"488,2";"481,3";"460,6";"453,1";"413,0";"434,9";"460,2";"487,1";"517,9";"555,6";"476,9";"492,0";"578,8";"593,9";"611,2";"617,9";"621,7";"698,4";"775,4"
"01051";"Dithmarschen";"Landkreis";"403,1";"397,1";"391,6";"454,7";"477,1";"418,9";"405,7";"401,2";"485,3";"397,6";"423,6";"505,5";"519,1";"527,3";"456,8";"509,8";"547,0";"565,3";"585,3";"697,3";"697,1";"743,0";"824,7"
"01053";"Herzogtum Lauenburg";"Landkreis";"476,9";"422,9";"445,6";"542,1";"503,4";"464,1";"494,1";"445,7";"580,3";"428,0";"463,7";"513,4";"566,8";"566,7";"522,5";"559,7";"590,7";"611,8";"650,8";"663,0";"655,7";"716,3";"791,1"
"01054";"Nordfriesland";"Landkreis";"411,5";"379,2";"396,0";"402,6";"433,8";"428,2";"422,2";"413,1";"379,9";"546,5";"606,4";"709,5";"682,5";"753,8";"697,5";"569,9";"691,0";"674,3";"702,8";"715,9";"783,3";"851,6";"896,3"
"01055";"Ostholstein";"Landkreis";"442,9";"401,1";"405,9";"422,1";"432,3";"426,9";"410,1";"401,6";"372,4";"393,2";"383,6";"425,6";"463,7";"504,8";"481,2";"494,2";"572,0";"562,4";"592,5";"607,0";"651,7";"696,3";"762,6"
"01056";"Pinneberg";"Landkreis";"603,3";"560,1";"548,6";"569,0";"591,1";"579,9";"582,0";"558,3";"544,7";"549,3";"587,8";"685,7";"698,4";"721,2";"676,5";"719,5";"773,4";"759,2";"810,0";"832,3";"877,2";"927,0";"1.054,6"
"01057";"Plön";"Landkreis";"400,8";"368,8";"380,6";"376,2";"385,3";"379,6";"370,1";"383,6";"360,7";"421,1";"436,2";"444,7";"471,2";"532,8";"474,6";"521,1";"581,8";"627,9";"583,5";"694,0";"746,1";"641,2";"709,4"
"01058";"Rendsburg-Eckernförde";"Landkreis";"432,8";"414,4";"433,7";"439,8";"461,4";"459,3";"425,9";"417,5";"405,5";"422,0";"425,1";"462,8";"501,1";"553,1";"509,7";"513,4";"576,6";"597,4";"610,8";"635,4";"675,7";"689,9";"772,1"
"01059";"Schleswig-Flensburg";"Landkreis";"376,4";"349,0";"354,0";"377,7";"390,1";"378,3";"372,8";"361,1";"351,4";"364,2";"365,4";"405,7";"444,4";"469,6";"461,5";"458,2";"512,7";"527,1";"550,3";"575,6";"621,3";"665,1";"706,4"
"01060";"Segeberg";"Landkreis";"611,3";"556,1";"548,9";"540,0";"548,8";"573,3";"538,4";"511,6";"510,9";"523,7";"539,6";"604,5";"652,0";"695,1";"610,2";"642,1";"703,8";"717,5";"754,0";"757,3";"787,8";"804,7";"920,9"
